cyclist_id,full_name,date_of_birth,nation,pcs_weight,pcs_height,pcs_link,cyclist_name_pcs
113,Alberto Elli,1964-03-09,Italy,,,https://www.procyclingstats.com/rider/alberto-elli,ELLI Alberto
114,Alberto Fernández de la Puebla,1984-09-17,Spain,,,https://www.procyclingstats.com/rider/alberto-fernandez-de-la-puebla-ramos,FERNÁNDEZ DE LA PUEBLA Alberto
115,Alberto Fernández,1981-11-15,Spain,,,https://www.procyclingstats.com/rider/alberto-fernandez-sainz,FERNÁNDEZ Alberto
116,Alberto Fernando Oliveira Carvalho,1965-02-05,Portugal,,,https://www.procyclingstats.com/rider/alberto-fernando-oliveira-carvalho,CARVALHO Alberto Fernando Oliveira
117,Alberto Hierro,1978-03-20,Spain,,,https://www.procyclingstats.com/rider/alberto-hierro,HIERRO Alberto
118,Alberto Leal,1960-08-10,Spain,,,https://www.procyclingstats.com/rider/alberto-leal,LEAL Alberto
119,Alberto Leanizbarrutia,1963-04-01,Spain,,,https://www.procyclingstats.com/rider/alberto-leanizbarrutia-abaunza,LEANIZBARRUTIA Alberto
120,Alberto Loddo,1979-01-05,Italy,,,https://www.procyclingstats.com/rider/alberto-loddo,LODDO Alberto
121,Alberto López de Munain,1972-03-12,Spain,,,https://www.procyclingstats.com/rider/alberto-lopez-de-munain,LÓPEZ DE MUNAIN Alberto
122,Alberto Losada,1982-02-28,Spain,69.0,1.8,https://www.procyclingstats.com/rider/alberto-losada,LOSADA Alberto
123,Alberto Minetti,1957-05-18,Italy,69.0,1.81,https://www.procyclingstats.com/rider/alberto-minetti,MINETTI Alberto
124,Alberto Ongarato,1975-07-24,Italy,69.0,1.83,https://www.procyclingstats.com/rider/alberto-ongarato,ONGARATO Alberto
125,Alberto Parente,1968-03-25,Portugal,,,https://www.procyclingstats.com/rider/alberto-parente,PARENTE Alberto
126,Alberto Rodríguez,1982-08-26,Spain,,,https://www.procyclingstats.com/rider/alberto-rodriguez-oliver,RODRÍGUEZ Alberto
127,Alberto Saronni,1961-11-19,Italy,,,https://www.procyclingstats.com/rider/alberto-saronni,SARONNI Alberto
128,Alberto Tacconi,1975-09-09,Italy,,,https://www.procyclingstats.com/rider/alberto-tacconi,TACCONI Alberto
129,Alberto Tiberio,1982-07-12,Switzerland,75.0,1.8,https://www.procyclingstats.com/rider/alberto-tiberio,TIBERIO Alberto
130,Alberto Vinale,1978-06-05,Italy,,,https://www.procyclingstats.com/rider/alberto-vinale,VINALE Alberto
131,Alberto Volpi,1962-12-09,Italy,,,https://www.procyclingstats.com/rider/alberto-volpi,VOLPI Alberto
132,Aldemar Reyes Ortega,1995-04-22,Colombia,55.0,1.7,https://www.procyclingstats.com/rider/aldemar-reyes,REYES ORTEGA Aldemar
133,Aldo Donadello,1953-04-19,Italy,,,https://www.procyclingstats.com/rider/aldo-donadello,DONADELLO Aldo
134,Alejandro Alberto Borrajo,1980-04-24,Argentina,76.0,1.8,https://www.procyclingstats.com/rider/alejandro-alberto-borrajo,BORRAJO Alejandro Alberto
135,Alejandro Ivan Cortes,1977-12-02,Colombia,,,https://www.procyclingstats.com/rider/alejandro-cortes,CORTES Alejandro Ivan
136,Alejandro Osorio,1998-05-28,Colombia,62.0,1.81,https://www.procyclingstats.com/rider/alejandro-osorio-carbajal,OSORIO Alejandro
137,Alejandro Paleo,1981-10-10,Spain,,,https://www.procyclingstats.com/rider/alejandro-paleo,PALEO Alejandro
138,Alejandro Ropero,1998-04-17,Spain,61.0,1.71,https://www.procyclingstats.com/rider/alejandro-ropero,ROPERO Alejandro
139,Alejandro Valverde,1980-04-25,Spain,61.0,1.77,https://www.procyclingstats.com/rider/alejandro-valverde,VALVERDE Alejandro
140,Aleksandar Milenkovic,1967-12-22,Serbia,,,https://www.procyclingstats.com/rider/aleksandar-milenkovic,MILENKOVIC Aleksandar
141,Aleksandar Nikačević,1978-01-26,Serbia,,,https://www.procyclingstats.com/rider/aleksandar-nikacevic,NIKAČEVIĆ Aleksandar
142,Aleksandr Kirichenko,1967-08-13,Russia,,,https://www.procyclingstats.com/rider/aleksandr-kirichenko,KIRICHENKO Aleksandr
143,Aleksandr Vlasov,1996-04-23,Russia,68.0,1.86,https://www.procyclingstats.com/rider/aleksandr-vlasov,VLASOV Aleksandr
144,Aleksejs Saramotins,1982-04-08,Latvia,75.0,1.85,https://www.procyclingstats.com/rider/aleksejs-saramotins,SARAMOTINS Aleksejs
145,Alexey Lutsenko,1992-09-07,Kazakhstan,74.0,1.74,https://www.procyclingstats.com/rider/aleksey-lutsenko,LUTSENKO Alexey
146,Alessandro Ballan,1979-11-06,Italy,73.0,1.9,https://www.procyclingstats.com/rider/alessandro-ballan,BALLAN Alessandro
147,Alessandro Baronti,1967-06-04,Italy,,,https://www.procyclingstats.com/rider/alessandro-baronti,BARONTI Alessandro
148,Alessandro Bertolini,1971-07-27,Italy,63.0,1.71,https://www.procyclingstats.com/rider/alessandro-bertolini,BERTOLINI Alessandro
149,Alessandro Bertuola,1979-09-13,Italy,,,https://www.procyclingstats.com/rider/alessandro-bertuola,BERTUOLA Alessandro
150,Alessandro Bianchin,1982-03-20,Italy,,,https://www.procyclingstats.com/rider/alessandro-bianchin,BIANCHIN Alessandro
151,Alessandro Bisolti,1985-03-07,Italy,58.0,1.75,https://www.procyclingstats.com/rider/alessandro-bisolti,BISOLTI Alessandro
152,Alessandro Brendolin,1977-05-26,Italy,,,https://www.procyclingstats.com/rider/alessandro-brendolin,BRENDOLIN Alessandro
153,Alessandro Calzolari,1971-07-04,Italy,,,https://www.procyclingstats.com/rider/alessandro-calzolari,CALZOLARI Alessandro
154,Alessandro Cortinovis,1977-10-11,Italy,68.0,1.82,https://www.procyclingstats.com/rider/alessandro-cortinovis,CORTINOVIS Alessandro
155,Alessandro Covi,1998-09-28,Italy,66.0,1.76,https://www.procyclingstats.com/rider/alessandro-covi,COVI Alessandro
156,Alessandro D'Andrea,1978-07-28,Italy,,,https://www.procyclingstats.com/rider/alessandro-dandrea,D'ANDREA Alessandro
157,Alessandro De Marchi,1986-05-19,Italy,65.0,1.81,https://www.procyclingstats.com/rider/alessandro-de-marchi,DE MARCHI Alessandro
158,Alessandro Donati,1979-05-08,Italy,71.0,1.86,https://www.procyclingstats.com/rider/alessandro-donati,DONATI Alessandro
159,Alessandro Fancellu,2000-04-24,Italy,62.0,1.72,https://www.procyclingstats.com/rider/alessandro-fancellu,FANCELLU Alessandro
160,Alessandro Fedeli,1996-03-02,Italy,65.0,1.76,https://www.procyclingstats.com/rider/alessandro-fedeli,FEDELI Alessandro
161,Alessandro Frau,1979-02-25,Italy,,,https://www.procyclingstats.com/rider/alessandro-frau,FRAU Alessandro
162,Alessandro Giannelli,1963-08-09,Italy,,,https://www.procyclingstats.com/rider/alessandro-giannelli,GIANNELLI Alessandro
163,Alessandro Guerra,1974-06-15,Italy,,,https://www.procyclingstats.com/rider/alessandro-guerra,GUERRA Alessandro
164,Alessandro Iacchi,1999-05-26,Italy,59.0,1.7,https://www.procyclingstats.com/rider/alessandro-iacchi,IACCHI Alessandro
165,Alessandro Maserati,1979-09-08,Italy,,,https://www.procyclingstats.com/rider/alessandro-maserati,MASERATI Alessandro
166,Alessandro Paganessi,1959-01-31,Italy,,,https://www.procyclingstats.com/rider/alessandro-paganessi,PAGANESSI Alessandro
167,Alessandro Petacchi,1974-01-03,Italy,70.0,1.85,https://www.procyclingstats.com/rider/alessandro-petacchi,PETACCHI Alessandro
168,Alessandro Pinarello,2003-07-12,Italy,,,https://www.procyclingstats.com/rider/alessandro-pinarello,PINARELLO Alessandro
169,Alessandro Pozzi,1954-12-24,Italy,,,https://www.procyclingstats.com/rider/alessandro-pozzi,POZZI Alessandro
170,Alessandro Pozzi,1969-08-25,Italy,,,https://www.procyclingstats.com/rider/alessandro-pozzi2,POZZI Alessandro
171,Alessandro Proni,1982-12-28,Italy,68.0,1.83,https://www.procyclingstats.com/rider/alessandro-proni,PRONI Alessandro
172,Alessandro Raisoni,1983-10-30,Italy,,,https://www.procyclingstats.com/rider/alessandro-raisoni,RAISONI Alessandro
173,Alessandro Santaromita,1999-12-11,Italy,,,https://www.procyclingstats.com/rider/alessandro-santaromita,SANTAROMITA Alessandro
174,Alessandro Santi,1967-01-17,San Marino,,,https://www.procyclingstats.com/rider/alessandro-santi,SANTI Alessandro
175,Alessandro Spezialetti,1975-01-14,Italy,67.0,1.79,https://www.procyclingstats.com/rider/alessandro-spezialetti,SPEZIALETTI Alessandro
176,Alessandro Tonelli,1992-05-29,Italy,64.0,1.76,https://www.procyclingstats.com/rider/alessandro-tonelli,TONELLI Alessandro
177,Alessandro Vanotti,1980-09-16,Italy,70.0,1.85,https://www.procyclingstats.com/rider/alessandro-vanotti,VANOTTI Alessandro
178,Alessandro Varocchi,1972-01-29,Italy,,,https://www.procyclingstats.com/rider/alessandro-varocchi,VAROCCHI Alessandro
179,Alessandro Verre,2001-11-17,Italy,,1.61,https://www.procyclingstats.com/rider/alessandro-verre,VERRE Alessandro
180,Alessio Antonini,1949-06-07,Italy,,,https://www.procyclingstats.com/rider/alessio-antonini,ANTONINI Alessio
181,Alessio Bongioni,1975-04-24,Italy,,,https://www.procyclingstats.com/rider/alessio-bongioni,BONGIONI Alessio
182,Alessio Di Basco,1964-11-18,Italy,,,https://www.procyclingstats.com/rider/alessio-di-basco,DI BASCO Alessio
183,Alessio Galletti,1968-03-26,Italy,,,https://www.procyclingstats.com/rider/alessio-galletti,GALLETTI Alessio
184,Alessio Martinelli,2001-04-26,Italy,,1.7,https://www.procyclingstats.com/rider/alessio-martinelli,MARTINELLI Alessio
185,Alessio Nieri,2001-04-13,Italy,,,https://www.procyclingstats.com/rider/alessio-nieri,NIERI Alessio
186,Alessio Signego,1983-12-11,Italy,,,https://www.procyclingstats.com/rider/alessio-signego,SIGNEGO Alessio
187,Alex Aranburu,1995-09-19,Spain,63.0,1.78,https://www.procyclingstats.com/rider/alex-aranburu,ARANBURU Alex
188,Alex Cano,1983-03-13,Colombia,,,https://www.procyclingstats.com/rider/alex-cano-ardila,CANO Alex
189,Alex Colman,1998-07-22,Belgium,76.0,1.84,https://www.procyclingstats.com/rider/alex-colman,COLMAN Alex
190,Alex Dowsett,1988-10-03,Great Britain,75.0,1.82,https://www.procyclingstats.com/rider/alex-dowsett,DOWSETT Alex
191,Álex Jaime,1998-09-29,Spain,68.0,1.83,https://www.procyclingstats.com/rider/alex-jaime-fernandez,JAIME Álex
192,Alex Kiddie,,Australia,,,https://www.procyclingstats.com/rider/alex-kiddie,KIDDIE Alex
193,Alex Kirsch,1992-06-12,Luxembourg,75.0,1.94,https://www.procyclingstats.com/rider/alex-kirsch,KIRSCH Alex
194,Alex Martin,2000-01-25,Spain,60.0,1.74,https://www.procyclingstats.com/rider/alex-martin-gutierrez,MARTIN Alex
195,Alex Molenaar,1999-07-13,Netherlands,65.0,1.84,https://www.procyclingstats.com/rider/alex-molenaar,MOLENAAR Alex
196,Alex Rasmussen,1984-06-09,Denmark,88.0,1.86,https://www.procyclingstats.com/rider/alex-rasmussen,RASMUSSEN Alex
197,Alex Stieda,1961-04-13,Canada,,,https://www.procyclingstats.com/rider/alex-stieda,STIEDA Alex
198,Alex Tolio,2000-03-30,Italy,,,https://www.procyclingstats.com/rider/alex-tolio,TOLIO Alex
199,Alex Van Linden,1952-05-05,Belgium,,,https://www.procyclingstats.com/rider/alex-van-linden,VAN LINDEN Alex
200,Alex Zülle,1968-07-05,Switzerland,72.0,1.85,https://www.procyclingstats.com/rider/alex-zulle,ZÜLLE Alex
201,Alexander Aeschbach,1974-06-09,Switzerland,,,https://www.procyclingstats.com/rider/alexander-aeschbach,AESCHBACH Alexander
202,Alexander Arekeev,1982-10-12,Russia,,,https://www.procyclingstats.com/rider/alexander-arekeev,AREKEEV Alexander
203,Alexander Cataford,1993-09-01,Canada,70.0,1.83,https://www.procyclingstats.com/rider/alexander-cataford,CATAFORD Alexander
204,Alex Edmondson,1993-12-22,Australia,75.0,1.84,https://www.procyclingstats.com/rider/alexander-edmondson,EDMONDSON Alex
205,Alexander Efimkin,1981-12-02,Russia,70.0,1.82,https://www.procyclingstats.com/rider/alexander-efimkin,EFIMKIN Alexander
206,Alexander Egger,1987-01-03,Austria,,,https://www.procyclingstats.com/rider/alexander-egger,EGGER Alexander
207,Alexander Ernst von Dalgow,1971-01-27,Mexico,,,https://www.procyclingstats.com/rider/alexander-ernst-von-dalgow,VON DALGOW Alexander Ernst
208,Alexander Gottfried,1985-07-05,Germany,60.0,1.68,https://www.procyclingstats.com/rider/alexander-gottfried,GOTTFRIED Alexander
209,Alexander Gufler,1983-02-09,Italy,,,https://www.procyclingstats.com/rider/alexander-gufler,GUFLER Alexander
210,Alexander Kamp,1993-12-14,Denmark,70.0,,https://www.procyclingstats.com/rider/alexander-kamp,KAMP Alexander
211,Alexander Kastenhuber,1967-11-12,Germany,,,https://www.procyclingstats.com/rider/alexander-kastenhuber,KASTENHUBER Alexander
212,Alexander Khatuntsev,1985-02-11,Russia,,,https://www.procyclingstats.com/rider/alexander-khatuntsev,KHATUNTSEV Alexander
213,Alexander Konychev,1998-07-25,Italy,76.0,1.85,https://www.procyclingstats.com/rider/alexander-konychev,KONYCHEV Alexander
214,Alexander Krasnov,1960-04-07,Russia,,,https://www.procyclingstats.com/rider/alexander-krasnov,KRASNOV Alexander
215,Alexander Krieger,1991-11-28,Germany,73.0,1.81,https://www.procyclingstats.com/rider/alexander-krieger,KRIEGER Alexander
216,Alexander Kristoff,1987-07-05,Norway,78.0,1.81,https://www.procyclingstats.com/rider/alexander-kristoff,KRISTOFF Alexander
