cyclist_id,team_id,season,cyclist_status,start_date,stop_date
8,230,1985,rider,1985-01-01,1985-12-31
8,233,1985,rider,1985-01-01,1985-12-31
9,247,2023,rider,2023-01-01,2023-12-31
9,247,2022,rider,2022-01-01,2022-12-31
9,247,2021,rider,2021-01-01,2021-12-31
9,280,2019,rider,2019-06-01,2019-12-31
10,287,2002,rider,2002-01-01,2002-12-31
10,287,2001,rider,2001-01-01,2001-12-31
10,290,2000,rider,2000-01-01,2000-12-31
10,290,1999,rider,1999-01-01,1999-12-31
10,268,1998,rider,1998-01-01,1998-12-31
10,268,1997,rider,1997-01-01,1997-12-31
10,307,1996,rider,1996-01-01,1996-12-31
10,307,1995,rider,1995-01-01,1995-12-31
10,308,1994,rider,1994-01-01,1994-12-31
10,315,1993,rider,1993-01-01,1993-12-31
10,328,1992,trainee,1992-09-01,1992-12-31
10,329,1992,rider,1992-01-01,1992-04-06
11,331,1994,rider,1994-01-01,1994-12-31
11,335,1993,rider,1993-01-01,1993-12-31
11,328,1992,rider,1992-01-01,1992-12-31
11,328,1991,rider,1991-01-01,1991-12-31
11,347,1990,rider,1990-01-01,1990-12-31
11,347,1989,rider,1989-01-01,1989-12-31
11,354,1988,rider,1988-01-01,1988-12-31
11,355,1987,rider,1987-01-01,1987-12-31
11,385,1986,rider,1986-01-01,1986-12-31
11,360,1986,rider,1986-01-01,1986-12-31
11,385,1985,rider,1985-01-01,1985-12-31
11,385,1984,rider,1984-01-01,1984-12-31
11,386,1983,rider,1983-01-01,1983-12-31
12,387,1984,rider,1984-01-01,1984-12-31
12,388,1983,rider,1983-01-01,1983-12-31
12,389,1982,rider,1982-01-01,1982-12-31
12,390,1981,rider,1981-01-01,1981-12-31
12,391,1980,rider,1980-01-01,1980-12-31
13,392,1985,rider,1985-01-01,1985-12-31
13,388,1983,rider,1983-01-01,1983-12-31
13,393,1982,rider,1982-01-01,1982-12-31
14,394,1983,rider,1983-01-01,1983-12-31
14,395,1982,rider,1982-01-01,1982-12-31
14,396,1979,rider,1979-01-01,1979-12-31
14,397,1978,rider,1978-01-01,1978-12-31
15,398,1986,rider,1986-01-01,1986-12-31
15,399,1985,rider,1985-01-01,1985-12-31
15,387,1984,rider,1984-01-01,1984-12-31
15,388,1983,rider,1983-01-01,1983-12-31
15,389,1982,rider,1982-01-01,1982-12-31
15,390,1981,rider,1981-01-01,1981-12-31
16,392,1985,rider,1985-01-01,1985-12-31
16,1,1983,rider,1983-01-01,1983-12-31
16,400,1982,rider,1982-01-01,1982-12-31
16,411,1982,rider,1982-01-01,1982-12-31
16,414,1981,rider,1981-01-01,1981-12-31
16,415,1980,rider,1980-01-01,1980-12-31
17,423,1993,rider,1993-01-01,1993-12-31
17,425,1992,rider,1992-01-01,1992-12-31
17,450,1991,rider,1991-01-01,1991-12-31
17,452,1990,rider,1990-01-01,1990-12-31
17,455,1989,rider,1989-01-01,1989-12-31
17,458,1988,rider,1988-01-01,1988-12-31
17,459,1987,rider,1987-01-01,1987-12-31
17,460,1986,rider,1986-01-01,1986-12-31
17,461,1985,rider,1985-01-01,1985-12-31
17,462,1984,rider,1984-01-01,1984-12-31
17,2,1983,rider,1983-01-01,1983-12-31
17,3,1982,rider,1982-01-01,1982-12-31
17,5,1981,rider,1981-01-01,1981-12-31
17,5,1980,rider,1980-01-01,1980-12-31
18,146,2019,rider,2019-01-01,2019-12-31
18,20,2018,rider,2018-01-01,2018-12-31
18,20,2017,rider,2017-01-01,2017-12-31
18,463,2016,rider,2016-01-01,2016-12-31
18,495,2015,rider,2015-01-01,2015-12-31
18,498,2014,rider,2014-01-01,2014-12-31
18,508,2013,rider,2013-01-01,2013-12-31
18,508,2012,rider,2012-01-01,2012-12-31
18,155,2011,rider,2011-01-01,2011-12-31
18,155,2010,rider,2010-01-01,2010-12-31
18,156,2009,trainee,2009-01-01,2009-12-31
18,514,2008,rider,2008-09-01,2008-12-31
19,519,2022,rider,2022-01-01,2022-12-31
19,521,2021,rider,2021-01-01,2021-12-31
19,521,2020,rider,2020-01-01,2020-12-31
19,522,2019,rider,2019-01-01,2019-12-31
19,523,2018,rider,2018-01-01,2018-12-31
19,525,2017,rider,2017-01-01,2017-12-31
19,525,2016,rider,2016-01-01,2016-12-31
19,539,2015,rider,2015-01-01,2015-12-31
20,542,2003,rider,2003-01-01,2003-12-31
20,565,2002,rider,2002-01-01,2002-12-31
21,577,2022,rider,2022-01-01,2022-12-31
21,146,2020,rider,2020-01-01,2020-12-31
21,146,2019,rider,2019-01-01,2019-12-31
21,146,2018,rider,2018-01-01,2018-12-31
21,150,2017,rider,2017-01-01,2017-12-31
21,150,2016,rider,2016-01-01,2016-12-31
21,150,2015,rider,2015-01-01,2015-12-31
21,151,2014,rider,2014-01-01,2014-12-31
21,153,2013,rider,2013-01-01,2013-12-31
21,153,2012,rider,2012-01-01,2012-12-31
21,155,2011,rider,2011-01-01,2011-12-31
21,430,2010,rider,2010-01-01,2010-12-31
21,431,2009,rider,2009-01-01,2009-12-31
21,432,2008,rider,2008-01-01,2008-12-31
21,436,2007,rider,2007-01-01,2007-12-31
21,590,2006,rider,2006-01-01,2006-12-31
21,592,2004,rider,2004-01-01,2004-12-31
21,594,2003,rider,2003-01-01,2003-12-31
22,597,2000,rider,2000-01-01,2000-12-31
22,610,1998,rider,1998-01-01,1998-12-31
22,611,1997,rider,1997-01-01,1997-12-31
23,623,2007,rider,2007-01-01,2007-12-31
23,624,2006,rider,2006-01-01,2006-12-31
24,616,2016,rider,2016-01-01,2016-12-31
24,616,2015,rider,2015-01-01,2015-12-31
24,616,2014,rider,2014-01-01,2014-12-31
24,618,2013,rider,2013-01-01,2013-12-31
24,618,2012,rider,2012-01-01,2012-12-31
24,621,2011,rider,2011-01-01,2011-12-31
25,628,2022,rider,2022-01-01,2022-12-31
25,628,2021,rider,2021-01-01,2021-12-31
25,637,2020,rider,2020-01-01,2020-12-31
25,637,2019,rider,2019-01-01,2019-12-31
25,639,2018,rider,2018-01-01,2018-12-31
25,639,2017,rider,2017-02-28,2017-12-31
25,641,2016,rider,2016-01-01,2016-12-31
25,646,2015,rider,2015-01-01,2015-12-31
25,654,2014,rider,2014-01-01,2014-12-31
25,657,2013,rider,2013-01-01,2013-12-31
25,657,2012,rider,2012-01-01,2012-12-31
26,661,2014,rider,2014-01-01,2014-12-31
26,662,2013,rider,2013-01-01,2013-12-31
26,654,2012,rider,2012-01-01,2012-12-31
26,663,2010,rider,2010-01-01,2010-12-31
26,664,2009,rider,2009-01-01,2009-12-31
26,679,2008,rider,2008-01-01,2008-12-31
26,689,2007,rider,2007-01-01,2007-12-31
26,706,2006,rider,2006-01-01,2006-12-31
26,718,2005,rider,2005-01-01,2005-12-31
26,719,2004,rider,2004-01-01,2004-12-31
26,720,2003,rider,2003-01-01,2003-12-31
26,723,2002,rider,2002-01-01,2002-12-31
26,723,2001,rider,2001-01-01,2001-12-31
27,734,2022,rider,2022-01-01,2022-12-31
27,734,2021,rider,2021-01-01,2021-12-31
27,488,2020,rider,2020-01-01,2020-12-31
27,488,2019,rider,2019-01-01,2019-12-31
27,488,2018,rider,2018-01-01,2018-12-31
27,489,2017,rider,2017-01-01,2017-12-31
27,490,2016,rider,2016-01-01,2016-12-31
27,495,2015,rider,2015-01-01,2015-12-31
27,495,2014,rider,2014-01-01,2014-12-31
28,80,2011,rider,2011-01-01,2011-12-31
28,82,2010,rider,2010-01-01,2010-12-31
28,82,2009,rider,2009-01-01,2009-12-31
28,86,2008,rider,2008-01-01,2008-12-31
28,86,2007,rider,2007-01-01,2007-12-31
28,86,2006,rider,2006-01-01,2006-12-31
28,86,2005,rider,2005-01-01,2005-12-31
28,748,2004,rider,2004-01-01,2004-12-31
28,212,2003,rider,2003-01-01,2003-12-31
28,212,2002,rider,2002-01-01,2002-12-31
28,212,2001,rider,2001-01-01,2001-12-31
28,212,2000,rider,2000-01-01,2000-12-31
29,753,1988,rider,1988-01-01,1988-12-31
29,754,1987,rider,1987-01-01,1987-12-31
29,755,1986,rider,1986-01-01,1986-12-31
29,221,1985,rider,1985-01-01,1985-12-31
30,756,2006,rider,2006-01-01,2006-12-31
30,757,2005,rider,2005-01-01,2005-12-31
30,758,2004,rider,2004-01-01,2004-12-31
31,765,2023,rider,2023-01-01,2023-12-31
31,765,2022,rider,2022-01-01,2022-12-31
31,778,2020,rider,2020-01-01,2020-12-31
31,768,2019,trainee,2019-08-01,2019-12-31
32,793,1995,rider,1995-01-01,1995-12-31
32,795,1995,rider,1995-01-01,1995-12-31
33,802,2006,rider,2006-01-01,2006-12-31
33,805,2005,rider,2005-01-01,2005-12-31
33,806,2004,rider,2004-01-01,2004-12-31
33,808,2003,rider,2003-01-01,2003-12-31
33,257,2002,rider,2002-01-01,2002-12-31
33,257,2001,rider,2001-01-01,2001-12-31
34,832,1981,rider,1981-01-01,1981-12-31
35,833,1984,rider,1984-01-01,1984-12-31
35,388,1983,rider,1983-01-01,1983-12-31
35,834,1982,rider,1982-01-01,1982-12-31
35,414,1981,rider,1981-01-01,1981-12-31
35,835,1980,rider,1980-01-01,1980-12-31
35,837,1979,rider,1979-01-01,1979-12-31
35,836,1978,rider,1978-01-01,1978-12-31
35,838,1977,rider,1977-01-01,1977-12-31
35,842,1976,rider,1976-01-01,1976-12-31
35,842,1975,rider,1975-01-01,1975-12-31
35,842,1974,rider,1974-01-01,1974-12-31
35,843,1970,rider,1970-01-01,1970-12-31
36,391,1980,rider,1980-01-01,1980-12-31
37,844,1987,rider,1987-01-01,1987-12-31
37,845,1986,rider,1986-01-01,1986-12-31
37,846,1985,rider,1985-01-01,1985-12-31
37,462,1984,rider,1984-01-01,1984-12-31
37,2,1983,rider,1983-01-01,1983-12-31
37,847,1982,rider,1982-01-01,1982-12-31
37,848,1981,rider,1981-01-01,1981-12-31
37,855,1980,rider,1980-01-01,1980-12-31
37,856,1979,rider,1979-01-01,1979-12-31
38,860,2022,rider,2022-01-01,2022-12-31
38,860,2021,trainee,2021-08-01,2021-12-31
38,879,2021,rider,2021-01-01,2021-12-31
38,902,2017,rider,2017-01-01,2017-12-31
38,902,2016,rider,2016-01-01,2016-12-31
39,628,2022,rider,2022-01-01,2022-12-31
39,628,2021,rider,2021-01-01,2021-12-31
39,629,2020,rider,2020-01-01,2020-12-31
39,637,2019,rider,2019-01-01,2019-12-31
39,639,2018,rider,2018-01-01,2018-12-31
39,646,2017,rider,2017-03-24,2017-12-31
39,641,2016,rider,2016-01-01,2016-12-31
39,646,2015,rider,2015-01-01,2015-12-31
39,654,2014,rider,2014-01-01,2014-12-31
39,654,2013,rider,2013-01-01,2013-12-31
39,654,2012,rider,2012-01-01,2012-12-31
40,912,2018,rider,2018-01-01,2018-12-31
40,912,2017,rider,2017-01-01,2017-12-31
40,912,2016,rider,2016-01-01,2016-12-31
40,912,2015,rider,2015-01-01,2015-12-31
40,912,2014,rider,2014-01-01,2014-12-31
40,915,2013,rider,2013-01-01,2013-12-31
40,915,2012,rider,2012-01-01,2012-12-31
40,915,2011,rider,2011-01-01,2011-12-31
40,916,2010,rider,2010-01-01,2010-12-31
41,628,2021,rider,2021-01-01,2021-12-31
41,629,2020,rider,2020-01-01,2020-12-31
41,632,2019,rider,2019-01-01,2019-12-31
41,697,2018,rider,2018-01-01,2018-12-31
41,697,2017,rider,2017-01-01,2017-12-31
41,697,2016,rider,2016-01-01,2016-12-31
41,697,2015,rider,2015-01-01,2015-12-31
41,699,2014,rider,2014-01-01,2014-12-31
41,699,2013,rider,2013-01-01,2013-12-31
41,683,2012,rider,2012-01-01,2012-12-31
42,932,2013,rider,2013-01-01,2013-08-11
42,797,2012,rider,2012-01-01,2012-12-31
42,797,2011,rider,2011-01-01,2011-12-31
42,941,2009,rider,2009-01-01,2009-12-31
42,942,2008,rider,2008-01-01,2008-12-31
42,945,2007,rider,2007-01-01,2007-12-31
42,947,2006,rider,2006-01-01,2006-12-31
42,947,2005,rider,2005-01-01,2005-12-31
42,966,2004,rider,2004-01-01,2004-12-31
42,969,2003,rider,2003-01-01,2003-12-31
42,969,2002,rider,2002-01-01,2002-12-31
42,969,2001,rider,2001-01-01,2001-12-31
42,970,2000,rider,2000-01-01,2000-12-31
43,988,2013,rider,2013-01-01,2013-12-31
43,988,2012,rider,2012-01-01,2012-12-31
43,1010,2011,rider,2011-01-01,2011-12-31
43,1010,2010,rider,2010-01-01,2010-12-31
44,1014,1994,rider,1994-01-01,1994-12-31
44,1015,1993,rider,1993-01-01,1993-12-31
44,1016,1992,rider,1992-01-01,1992-12-31
44,1017,1991,rider,1991-01-01,1991-12-31
44,1018,1991,rider,1991-01-01,1991-12-31
44,1019,1989,rider,1989-01-01,1989-12-31
44,1042,1988,rider,1988-01-01,1988-12-31
44,1081,1987,rider,1987-01-01,1987-12-31
44,1082,1986,rider,1986-01-01,1986-12-31
45,1083,1995,rider,1995-01-01,1995-12-31
45,1084,1994,rider,1994-01-01,1994-12-31
46,1085,2011,rider,2011-01-01,2011-12-31
46,1086,2010,rider,2010-01-01,2010-12-31
46,687,2009,rider,2009-01-01,2009-12-31
46,687,2008,rider,2008-01-01,2008-12-31
46,689,2007,rider,2007-01-01,2007-12-31
46,689,2006,rider,2006-01-01,2006-12-31
47,303,2001,rider,2001-01-01,2001-12-31
47,303,2000,rider,2000-01-01,2000-12-31
47,303,1999,rider,1999-01-01,1999-12-31
47,1099,1998,rider,1998-01-01,1998-12-31
47,1118,1997,rider,1997-01-01,1997-12-31
47,307,1996,rider,1996-01-01,1996-12-31
47,307,1995,rider,1995-01-01,1995-12-31
47,1130,1994,rider,1994-01-01,1994-12-31
47,1131,1993,rider,1993-01-01,1993-12-31
47,1141,1992,rider,1992-01-01,1992-12-31
47,1141,1991,rider,1991-01-01,1991-12-31
47,1141,1990,rider,1990-01-01,1990-12-31
47,1141,1989,rider,1989-01-01,1989-12-31
47,1142,1988,rider,1988-01-01,1988-12-31
47,1144,1987,rider,1987-01-01,1987-12-31
47,1149,1986,rider,1986-01-01,1986-12-31
47,1141,1985,rider,1985-01-01,1985-12-31
48,1154,1996,rider,1996-01-01,1996-12-31
49,401,1992,rider,1992-01-01,1992-12-31
49,402,1991,rider,1991-01-01,1991-12-31
49,403,1990,rider,1990-01-01,1990-12-31
49,404,1989,rider,1989-01-01,1989-12-31
49,1159,1988,rider,1988-01-01,1988-12-31
49,1159,1987,rider,1987-01-01,1987-12-31
50,212,2000,rider,2000-01-01,2000-12-31
50,212,1999,rider,1999-01-01,1999-12-31
50,212,1998,rider,1998-01-01,1998-12-31
50,212,1997,rider,1997-01-01,1997-12-31
50,212,1996,rider,1996-01-01,1996-12-31
50,1166,1995,rider,1995-01-01,1995-12-31
50,1167,1994,rider,1994-01-01,1994-12-31
50,1131,1993,rider,1993-01-01,1993-12-31
50,401,1992,rider,1992-01-01,1992-12-31
50,402,1991,rider,1991-01-01,1991-12-31
50,454,1990,rider,1990-01-01,1990-12-31
50,455,1989,rider,1989-01-01,1989-12-31
50,1174,1988,rider,1988-01-01,1988-12-31
50,1175,1987,rider,1987-01-01,1987-12-31
50,460,1986,rider,1986-01-01,1986-12-31
50,461,1985,rider,1985-01-01,1985-12-31
50,462,1984,rider,1984-01-01,1984-12-31
50,1177,1983,rider,1983-01-01,1983-12-31
50,1178,1982,rider,1982-01-01,1982-12-31
50,1179,1981,rider,1981-01-01,1981-12-31
51,1183,2023,rider,2023-01-01,2023-12-31
51,1183,2022,rider,2022-01-01,2022-12-31
51,1184,2021,trainee,2021-08-01,2021-12-31
52,1191,2023,rider,2023-01-01,2023-12-31
52,1191,2022,rider,2022-01-01,2022-12-31
52,1207,2021,rider,2021-01-01,2021-12-31
52,1208,2020,rider,2020-01-01,2020-12-31
52,1209,2019,rider,2019-01-01,2019-12-31
52,1213,2018,rider,2018-01-01,2018-12-31
52,1213,2017,rider,2017-01-01,2017-12-31
52,1213,2016,rider,2016-01-01,2016-12-31
52,1242,2015,rider,2015-01-01,2015-12-31
52,1242,2014,rider,2014-01-01,2014-12-31
52,1242,2013,rider,2013-01-01,2013-12-31
52,1245,2012,rider,2012-01-01,2012-12-31
52,1245,2011,rider,2011-01-01,2011-12-31
52,1245,2010,trainee,2010-08-01,2010-12-31
53,1259,1989,rider,1989-01-01,1989-12-31
54,802,2006,rider,2006-04-01,2006-12-31
54,805,2005,rider,2005-01-01,2005-12-31
55,1263,2022,rider,2022-01-01,2022-12-31
55,1263,2021,rider,2021-01-01,2021-12-31
55,1270,2020,rider,2020-01-01,2020-12-31
56,1275,2018,rider,2018-01-01,2018-12-31
56,1275,2017,rider,2017-01-01,2017-12-31
56,1277,2016,rider,2016-01-01,2016-12-31
56,25,2015,rider,2015-01-01,2015-12-31
56,495,2014,rider,2014-01-01,2014-12-31
56,495,2013,rider,2013-01-01,2013-12-31
56,495,2012,rider,2012-01-01,2012-12-31
56,1283,2011,rider,2011-01-01,2011-12-31
56,1295,2010,rider,2010-01-01,2010-12-31
56,1298,2009,rider,2009-01-01,2009-12-31
56,1299,2008,rider,2008-01-01,2008-12-31
56,1301,2007,rider,2007-01-01,2007-12-31
57,1191,2023,rider,2023-01-01,2023-12-31
57,1191,2022,rider,2022-01-01,2022-12-31
57,1191,2021,rider,2021-01-01,2021-12-31
57,1192,2020,rider,2020-01-01,2020-12-31
57,1193,2019,rider,2019-01-01,2019-12-31
57,95,2018,rider,2018-01-01,2018-12-31
57,95,2017,rider,2017-01-01,2017-12-31
57,99,2016,rider,2016-01-01,2016-12-31
58,1302,1995,rider,1995-01-01,1995-12-31
58,1303,1994,rider,1994-01-01,1994-12-31
59,1317,2012,rider,2012-01-01,2012-12-31
59,988,2010,rider,2010-01-01,2010-12-31
59,988,2009,rider,2009-01-01,2009-12-31
59,992,2008,rider,2008-01-01,2008-12-31
59,992,2007,rider,2007-01-01,2007-12-31
59,1341,2006,rider,2006-01-01,2006-12-31
59,1341,2005,rider,2005-01-01,2005-12-31
59,1367,2004,rider,2004-01-01,2004-12-31
60,1371,2003,rider,2003-01-01,2003-12-31
60,1374,2002,rider,2002-01-01,2002-12-31
60,1374,2001,rider,2001-01-01,2001-12-31
60,268,2000,rider,2000-01-01,2000-12-31
60,268,1999,rider,1999-01-01,1999-12-31
60,268,1998,rider,1998-01-01,1998-12-31
60,291,1997,rider,1997-01-01,1997-12-31
60,268,1997,rider,1997-01-01,1997-12-31
60,268,1996,rider,1996-01-01,1996-12-31
60,293,1996,rider,1996-01-01,1996-12-31
60,268,1995,rider,1995-01-01,1995-12-31
60,268,1994,rider,1994-01-01,1994-12-31
60,268,1993,rider,1993-01-01,1993-12-31
60,268,1992,rider,1992-01-01,1992-12-31
60,268,1991,rider,1991-01-01,1991-12-31
60,268,1990,rider,1990-01-01,1990-12-31
61,992,2005,rider,2005-01-01,2005-12-31
61,1382,2004,rider,2004-01-01,2004-12-31
61,1382,2003,rider,2003-01-01,2003-12-31
61,814,2002,rider,2002-01-01,2002-12-31
61,814,2001,rider,2001-01-01,2001-12-31
61,814,2000,rider,2000-01-01,2000-12-31
61,814,1999,rider,1999-01-01,1999-12-31
62,988,2010,rider,2010-01-01,2010-12-31
62,988,2009,rider,2009-01-01,2009-12-31
62,992,2008,rider,2008-01-01,2008-12-31
62,992,2007,rider,2007-01-01,2007-12-31
62,992,2006,rider,2006-01-01,2006-12-31
62,1388,2005,rider,2005-01-01,2005-12-31
62,1389,2004,rider,2004-01-01,2004-12-31
63,1402,2003,rider,2003-01-01,2003-12-31
63,1430,2002,rider,2002-01-01,2002-12-31
63,1439,2001,rider,2001-01-01,2001-12-31
63,999,2000,rider,2000-01-01,2000-12-31
63,999,1999,rider,1999-01-01,1999-12-31
63,999,1998,rider,1998-01-01,1998-12-31
64,59,2006,rider,2006-01-01,2006-12-31
64,253,2005,rider,2005-01-01,2005-12-31
64,254,2004,rider,2004-01-01,2004-12-31
64,257,2003,rider,2003-01-01,2003-12-31
64,257,2002,rider,2002-01-01,2002-12-31
64,257,2001,rider,2001-01-01,2001-12-31
64,268,2000,rider,2000-01-01,2000-12-31
64,268,1999,rider,1999-01-01,1999-12-31
64,268,1998,rider,1998-01-01,1998-12-31
64,268,1997,rider,1997-01-01,1997-12-31
64,1002,1996,rider,1996-01-01,1996-12-31
64,1002,1995,rider,1995-01-01,1995-12-31
64,1003,1994,rider,1994-01-01,1994-12-31
65,1444,2012,rider,2012-01-01,2012-12-31
65,1466,2011,rider,2011-01-01,2011-12-31
65,1480,2010,rider,2010-01-01,2010-12-31
65,941,2009,rider,2009-01-01,2009-12-31
65,1488,2008,rider,2008-01-01,2008-12-31
65,251,2007,rider,2007-01-01,2007-12-31
65,252,2006,rider,2006-01-01,2006-12-31
65,1491,2005,rider,2005-01-01,2005-12-31
65,1402,2004,rider,2004-01-01,2004-12-31
66,992,2005,rider,2005-01-01,2005-12-31
66,999,2004,rider,2004-01-01,2004-12-31
66,999,2003,rider,2003-01-01,2003-12-31
66,999,2002,rider,2002-01-01,2002-12-31
66,999,2001,rider,2001-01-01,2001-12-31
66,999,2000,rider,2000-01-01,2000-12-31
66,999,1999,rider,1999-01-01,1999-12-31
67,1495,2010,rider,2010-01-01,2010-12-31
67,1511,2008,rider,2008-01-01,2008-12-31
67,1518,2007,rider,2007-01-01,2007-12-31
67,1518,2006,rider,2006-01-01,2006-12-31
67,1518,2005,trainee,2005-08-01,2005-12-31
68,1318,2010,rider,2010-01-01,2010-12-31
68,1519,2009,rider,2009-01-01,2009-12-31
68,992,2007,rider,2007-01-01,2007-12-31
68,992,2006,rider,2006-01-01,2006-12-31
68,992,2005,rider,2005-01-01,2005-12-31
68,999,2004,rider,2004-01-01,2004-12-31
69,1520,1997,rider,1997-01-01,1997-12-31
69,1521,1996,rider,1996-01-01,1996-12-31
70,1528,1995,rider,1995-01-01,1995-12-31
70,1529,1994,rider,1994-01-01,1994-12-31
70,1530,1993,rider,1993-01-01,1993-12-31
70,1531,1992,rider,1992-01-01,1992-12-31
70,1532,1992,rider,1992-01-01,1992-12-31
70,1533,1991,rider,1991-01-01,1991-12-31
71,1534,1984,rider,1984-01-01,1984-12-31
71,410,1983,rider,1983-01-01,1983-12-31
72,1535,1984,rider,1984-06-01,1984-12-31
72,1547,1984,rider,1984-01-01,1984-12-31
73,1551,1982,rider,1982-01-01,1982-12-31
73,1552,1981,rider,1981-01-01,1981-12-31
73,1553,1980,rider,1980-01-01,1980-12-31
73,1554,1979,rider,1979-01-01,1979-12-31
73,1555,1978,rider,1978-01-01,1978-12-31
73,1558,1977,rider,1977-01-01,1977-12-31
74,1563,1989,rider,1989-01-01,1989-12-31
74,1565,1988,rider,1988-01-01,1988-12-31
74,1566,1987,rider,1987-01-01,1987-12-31
74,1567,1986,rider,1986-01-01,1986-12-31
74,1568,1985,rider,1985-01-01,1985-12-31
74,1569,1984,rider,1984-01-01,1984-12-31
74,853,1983,rider,1983-01-01,1983-12-31
74,1570,1982,rider,1982-01-01,1982-12-31
74,855,1981,rider,1981-01-01,1981-12-31
74,1572,1980,rider,1980-01-01,1980-12-31
74,1556,1979,rider,1979-01-01,1979-12-31
74,1557,1978,rider,1978-01-01,1978-12-31
75,1573,1991,rider,1991-01-01,1991-12-31
75,1574,1990,rider,1990-01-01,1990-12-31
75,1563,1989,rider,1989-01-01,1989-12-31
75,1575,1988,rider,1988-01-01,1988-12-31
76,1568,1985,rider,1985-01-01,1985-12-31
77,1576,1985,rider,1985-01-01,1985-12-31
77,1578,1984,rider,1984-01-01,1984-12-31
77,1579,1983,rider,1983-01-01,1983-12-31
77,1580,1982,rider,1982-01-01,1982-12-31
77,848,1981,rider,1981-01-01,1981-12-31
77,1586,1980,rider,1980-01-01,1980-12-31
77,1587,1979,rider,1979-01-01,1979-12-31
77,836,1978,rider,1978-01-01,1978-12-31
77,838,1977,rider,1977-01-01,1977-12-31
77,839,1976,rider,1976-01-01,1976-12-31
78,1589,1984,rider,1984-01-01,1984-12-31
78,1590,1984,rider,1984-01-01,1984-12-31
78,1604,1983,rider,1983-01-01,1983-12-31
78,1604,1982,rider,1982-01-01,1982-12-31
79,1605,1991,rider,1991-01-01,1991-12-31
79,1606,1990,rider,1990-01-01,1990-12-31
79,1607,1988,rider,1988-01-01,1988-12-31
80,1608,1981,rider,1981-01-01,1981-12-31
80,1586,1980,rider,1980-01-01,1980-12-31
80,1609,1980,rider,1980-01-01,1980-12-31
80,1554,1979,rider,1979-01-01,1979-12-31
80,1616,1978,rider,1978-01-01,1978-12-31
80,1655,1977,rider,1977-01-01,1977-12-31
80,1655,1976,rider,1976-01-01,1976-12-31
80,1656,1975,rider,1975-10-01,1975-12-31
81,1609,1980,rider,1980-01-01,1980-12-31
81,1604,1979,rider,1979-01-01,1979-12-31
81,1661,1978,rider,1978-01-01,1978-12-31
82,1662,2001,rider,2001-01-01,2001-12-31
82,1665,2000,rider,2000-01-01,2000-12-31
82,1670,1999,rider,1999-01-01,1999-12-31
